Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary > $100k,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
55-59,Man,4,Software Engineer,Computers/Technology,1,recently started,No,5,5.0,cloud computing platform,MySQL ,1.0,Cloud-based data software & APIs,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
30-34,Woman,4,Data Scientist,Other,5,recently started,No,4,6.0,cloud computing platform,,1.0,Cloud-based data software & APIs,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
40-44,Man,3,Research Scientist,Manufacturing/Fabrication,4,I do not know,No,1,1.0,laptop,,1.0,Advanced statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-54,Man,4,Data Engineer,Computers/Technology,5,well established,Yes,6,1.0,cloud computing platform,MySQL ,4.0,Cloud-based data software & APIs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-39,Man,6,Research Scientist,Medical/Pharmaceutical,5,for insights only,Yes,5,7.0,desktop,PostgreSQL ,3.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
25-29,Man,4,Data Scientist,Online Service/Internet-based Services,4,recently started,No,2,3.0,laptop,,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55-59,Man,3,Software Engineer,Other,2,for insights only,No,6,7.0,desktop,Microsoft SQL Server ,2.0,Local development environments,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
30-34,Man,4,Business Analyst,Accounting/Finance,5,recently started,No,2,2.0,laptop,,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
55-59,Man,3,Other,Medical/Pharmaceutical,4,exploring,No,2,1.0,desktop,,1.0,Business intelligence software,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40-44,Woman,4,Other,Academics/Education,2,recently started,No,4,6.0,laptop,,3.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
55-59,Man,4,Data Scientist,Medical/Pharmaceutical,4,recently started,No,6,3.0,cloud computing platform,Google Cloud BigQuery ,1.0,Local development environments,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70+,Man,4,Other,Energy/Mining,1,recently started,Yes,3,4.0,laptop,,1.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70+,Woman,4,Data Analyst,Government/Public Service,4,exploring,No,6,3.0,desktop,Oracle Database ,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60-69,Man,4,Product Manager,Computers/Technology,1,exploring,No,6,4.0,laptop,MySQL ,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
30-34,Man,4,Data Scientist,Online Business/Internet-based Sales,1,recently started,Yes,5,7.0,cloud computing platform,Snowflake ,3.0,Cloud-based data software & APIs,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
30-34,Man,4,Business Analyst,Accounting/Finance,4,I do not know,No,0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
